"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"NGAr101";"NGA";"Akwa Ibom";7564;0.503;0.488;0.518;0.501
"NGAr102";"NGA";"Anambra";3398;0.583;0.62;0.543;0.588
"NGAr103";"NGA";"Bauchi";8834;0.299;0.42;0.143;0.443
"NGAr104";"NGA";"Edo";1864;0.468;0.43;0.455;0.523
"NGAr105";"NGA";"Benue";4890;0.472;0.49;0.438;0.484
"NGAr106";"NGA";"Borno";6200;0.421;0.421;0.328;0.541
"NGAr107";"NGA";"Cross River";3046;0.512;0.53;0.498;0.507
"NGAr108";"NGA";"Adamawa";2167;0.421;0.446;0.364;0.462
"NGAr109";"NGA";"Imo";2309;0.698;0.788;0.646;0.669
"NGAr110";"NGA";"Kaduna";6074;0.435;0.442;0.329;0.565
"NGAr111";"NGA";"Kano";8524;0.391;0.422;0.254;0.558
"NGAr112";"NGA";"Katsina";6205;0.396;0.42;0.282;0.528
"NGAr113";"NGA";"Kwara";867;0.589;0.69;0.523;0.568
"NGAr114";"NGA";"Lagos";4266;0.594;0.566;0.591;0.627
"NGAr115";"NGA";"Niger";4817;0.425;0.454;0.354;0.481
"NGAr116";"NGA";"Ogun";2269;0.499;0.518;0.445;0.534
"NGAr117";"NGA";"Ondo";1489;0.505;0.56;0.477;0.48
"NGAr118";"NGA";"Oyo";3055;0.561;0.675;0.497;0.523
"NGAr119";"NGA";"Plateau";2789;0.485;0.469;0.464;0.526
"NGAr120";"NGA";"Rivers";6528;0.519;0.438;0.554;0.573
"NGAr121";"NGA";"Sokoto";3468;0.217;0.42;0.059;0.392
"NGAr122";"NGA";"Abia";769;0.548;0.598;0.526;0.521
"NGAr123";"NGA";"Delta";3890;0.509;0.469;0.528;0.529
"NGAr124";"NGA";"Enugu";1899;0.562;0.574;0.538;0.571
"NGAr125";"NGA";"Jigawa";2607;0.24;0.426;0.079;0.401
"NGAr126";"NGA";"Kebbi";3848;0.306;0.409;0.156;0.452
"NGAr127";"NGA";"Kogi";5273;0.51;0.516;0.48;0.54
"NGAr128";"NGA";"Osun";999;0.459;0.421;0.435;0.528
"NGAr129";"NGA";"Taraba";3442;0.33;0.42;0.183;0.455
"NGAr130";"NGA";"Yobe";3220;0.41;0.417;0.291;0.566
"NGAr131";"NGA";"Bayelsa";453;0.433;0.451;0.44;0.405
"NGAr132";"NGA";"Ebonyi";940;0.402;0.411;0.387;0.41
"NGAr133";"NGA";"Ekiti";1131;0.495;0.459;0.502;0.523
"NGAr134";"NGA";"Gombe";2825;0.389;0.413;0.303;0.469
"NGAr135";"NGA";"Nassarawa";1810;0.415;0.422;0.345;0.494
"NGAr136";"NGA";"Zamfora";5669;0.362;0.425;0.23;0.486
"NGAr137";"NGA";"Abuja FCT";232;0.45;0.446;0.332;0.614
