"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"NGAr101";"NGA";"Akwa Ibom";3719;0.591;0.573;0.583;0.618
"NGAr102";"NGA";"Anambra";4324;0.622;0.563;0.628;0.68
"NGAr103";"NGA";"Bauchi";5566;0.363;0.415;0.233;0.494
"NGAr104";"NGA";"Edo";3077;0.618;0.594;0.612;0.65
"NGAr105";"NGA";"Benue";5723;0.509;0.504;0.504;0.518
"NGAr106";"NGA";"Borno";5934;0.407;0.558;0.224;0.542
"NGAr107";"NGA";"Cross River";3237;0.556;0.552;0.557;0.559
"NGAr108";"NGA";"Adamawa";3641;0.479;0.449;0.444;0.554
"NGAr109";"NGA";"Imo";3927;0.573;0.497;0.599;0.633
"NGAr110";"NGA";"Kaduna";8448;0.537;0.577;0.447;0.601
"NGAr111";"NGA";"Kano";14326;0.442;0.46;0.334;0.562
"NGAr112";"NGA";"Katsina";7116;0.354;0.421;0.199;0.528
"NGAr113";"NGA";"Kwara";2607;0.606;0.621;0.561;0.638
"NGAr114";"NGA";"Lagos";8455;0.639;0.566;0.655;0.703
"NGAr115";"NGA";"Niger";6995;0.475;0.558;0.337;0.571
"NGAr116";"NGA";"Ogun";4059;0.558;0.562;0.526;0.588
"NGAr117";"NGA";"Ondo";3551;0.58;0.534;0.6;0.609
"NGAr118";"NGA";"Oyo";6729;0.574;0.602;0.513;0.612
"NGAr119";"NGA";"Plateau";3236;0.518;0.512;0.494;0.549
"NGAr120";"NGA";"Rivers";5014;0.603;0.545;0.64;0.628
"NGAr121";"NGA";"Sokoto";4878;0.338;0.422;0.178;0.513
"NGAr122";"NGA";"Abia";2452;0.573;0.498;0.6;0.631
"NGAr123";"NGA";"Delta";3896;0.599;0.56;0.614;0.624
"NGAr124";"NGA";"Enugu";3740;0.549;0.528;0.531;0.591
"NGAr125";"NGA";"Jigawa";6031;0.343;0.422;0.19;0.504
"NGAr126";"NGA";"Kebbi";5676;0.354;0.449;0.194;0.51
"NGAr127";"NGA";"Kogi";3270;0.581;0.599;0.552;0.592
"NGAr128";"NGA";"Osun";3291;0.629;0.634;0.626;0.628
"NGAr129";"NGA";"Taraba";3338;0.453;0.472;0.39;0.505
"NGAr130";"NGA";"Yobe";4119;0.303;0.482;0.118;0.493
"NGAr131";"NGA";"Bayelsa";1565;0.584;0.544;0.613;0.597
"NGAr132";"NGA";"Ebonyi";3987;0.5;0.455;0.512;0.534
"NGAr133";"NGA";"Ekiti";1592;0.607;0.548;0.639;0.637
"NGAr134";"NGA";"Gombe";2678;0.411;0.444;0.292;0.537
"NGAr135";"NGA";"Nassarawa";2801;0.521;0.524;0.467;0.577
"NGAr136";"NGA";"Zamfora";5663;0.338;0.412;0.19;0.493
"NGAr137";"NGA";"Abuja FCT";1417;0.65;0.584;0.671;0.7
