"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"NGAr101";"NGA";"Akwa Ibom";4533;0.602;0.594;0.638;0.575
"NGAr102";"NGA";"Anambra";6810;0.674;0.644;0.69;0.689
"NGAr103";"NGA";"Bauchi";8381;0.372;0.438;0.24;0.488
"NGAr104";"NGA";"Edo";3171;0.633;0.541;0.706;0.665
"NGAr105";"NGA";"Benue";6093;0.582;0.625;0.606;0.522
"NGAr106";"NGA";"Borno";7841;0.464;0.513;0.352;0.554
"NGAr107";"NGA";"Cross River";2736;0.575;0.547;0.66;0.526
"NGAr108";"NGA";"Adamawa";4753;0.539;0.61;0.5;0.513
"NGAr109";"NGA";"Imo";4946;0.683;0.631;0.772;0.655
"NGAr110";"NGA";"Kaduna";12361;0.545;0.462;0.58;0.604
"NGAr111";"NGA";"Kano";15394;0.482;0.435;0.458;0.563
"NGAr112";"NGA";"Katsina";13204;0.431;0.453;0.358;0.495
"NGAr113";"NGA";"Kwara";3781;0.597;0.619;0.566;0.606
"NGAr114";"NGA";"Lagos";13067;0.721;0.72;0.758;0.686
"NGAr115";"NGA";"Niger";7398;0.523;0.61;0.401;0.584
"NGAr116";"NGA";"Ogun";4622;0.579;0.549;0.604;0.586
"NGAr117";"NGA";"Ondo";3455;0.611;0.619;0.649;0.566
"NGAr118";"NGA";"Oyo";7133;0.603;0.607;0.62;0.582
"NGAr119";"NGA";"Plateau";4578;0.563;0.552;0.606;0.532
"NGAr120";"NGA";"Rivers";6759;0.601;0.474;0.726;0.63
"NGAr121";"NGA";"Sokoto";5501;0.397;0.428;0.294;0.495
"NGAr122";"NGA";"Abia";3105;0.622;0.574;0.678;0.618
"NGAr123";"NGA";"Delta";4952;0.607;0.543;0.658;0.626
"NGAr124";"NGA";"Enugu";3991;0.667;0.683;0.681;0.639
"NGAr125";"NGA";"Jigawa";8001;0.371;0.418;0.257;0.476
"NGAr126";"NGA";"Kebbi";6078;0.366;0.419;0.236;0.497
"NGAr127";"NGA";"Kogi";3005;0.625;0.631;0.667;0.58
"NGAr128";"NGA";"Osun";4683;0.607;0.621;0.602;0.599
"NGAr129";"NGA";"Taraba";4565;0.527;0.601;0.497;0.49
"NGAr130";"NGA";"Yobe";8053;0.439;0.629;0.277;0.487
"NGAr131";"NGA";"Bayelsa";1748;0.573;0.495;0.673;0.563
"NGAr132";"NGA";"Ebonyi";4950;0.706;0.696;0.783;0.645
"NGAr133";"NGA";"Ekiti";2454;0.612;0.606;0.664;0.569
"NGAr134";"NGA";"Gombe";4192;0.466;0.548;0.358;0.517
"NGAr135";"NGA";"Nassarawa";3361;0.549;0.581;0.513;0.556
"NGAr136";"NGA";"Zamfora";7380;0.392;0.481;0.247;0.506
"NGAr137";"NGA";"Abuja FCT";1501;0.678;0.662;0.7;0.673
