"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"BFAr101";"BFA";"Boucle de Mouhoun";1104;0.262;0.488;0.102;0.362
"BFAr102";"BFA";"Cascades";402;0.307;0.467;0.153;0.405
"BFAr103";"BFA";"Centre (incl Ouagadougou)";1329;0.503;0.561;0.44;0.514
"BFAr104";"BFA";"Centre-Est";1061;0.3;0.503;0.139;0.385
"BFAr105";"BFA";"Centre-Nord";1152;0.254;0.478;0.094;0.362
"BFAr106";"BFA";"Centre-Ouest";986;0.283;0.468;0.128;0.38
"BFAr107";"BFA";"Centre-Sud";734;0.281;0.534;0.109;0.381
"BFAr108";"BFA";"Est";1044;0.204;0.492;0.049;0.348
"BFAr109";"BFA";"Hauts Bassins";1525;0.334;0.484;0.183;0.422
"BFAr110";"BFA";"Nord";1221;0.254;0.458;0.097;0.369
"BFAr111";"BFA";"Plateau Central";700;0.259;0.515;0.093;0.366
"BFAr112";"BFA";"Sahel";791;0.2;0.448;0.053;0.334
"BFAr113";"BFA";"Sud-Ouest";583;0.253;0.487;0.096;0.347
