"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"BFAr101";"BFA";"Boucle de Mouhoun";2539;0.4;0.612;0.251;0.417
"BFAr102";"BFA";"Cascades";898;0.453;0.612;0.313;0.487
"BFAr103";"BFA";"Centre (incl Ouagadougou)";2724;0.54;0.612;0.485;0.532
"BFAr104";"BFA";"Centre-Est";1742;0.4;0.612;0.239;0.438
"BFAr105";"BFA";"Centre-Nord";1752;0.39;0.612;0.231;0.422
"BFAr106";"BFA";"Centre-Ouest";1738;0.429;0.612;0.3;0.43
"BFAr107";"BFA";"Centre-Sud";1109;0.419;0.612;0.274;0.438
"BFAr108";"BFA";"Est";2153;0.375;0.612;0.219;0.394
"BFAr109";"BFA";"Hauts Bassins";2471;0.469;0.612;0.347;0.486
"BFAr110";"BFA";"Nord";1686;0.413;0.612;0.266;0.433
"BFAr111";"BFA";"Plateau Central";1098;0.417;0.612;0.271;0.438
"BFAr112";"BFA";"Sahel";1797;0.305;0.612;0.118;0.393
"BFAr113";"BFA";"Sud-Ouest";966;0.365;0.612;0.198;0.401
