"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"BFAr101";"BFA";"Boucle de Mouhoun";NA;NA;NA;NA;NA
"BFAr102";"BFA";"Cascades";NA;NA;NA;NA;NA
"BFAr103";"BFA";"Centre (incl Ouagadougou)";NA;NA;NA;NA;NA
"BFAr104";"BFA";"Centre-Est";NA;NA;NA;NA;NA
"BFAr105";"BFA";"Centre-Nord";NA;NA;NA;NA;NA
"BFAr106";"BFA";"Centre-Ouest";NA;NA;NA;NA;NA
"BFAr107";"BFA";"Centre-Sud";NA;NA;NA;NA;NA
"BFAr108";"BFA";"Est";NA;NA;NA;NA;NA
"BFAr109";"BFA";"Hauts Bassins";NA;NA;NA;NA;NA
"BFAr110";"BFA";"Nord";NA;NA;NA;NA;NA
"BFAr111";"BFA";"Plateau Central";NA;NA;NA;NA;NA
"BFAr112";"BFA";"Sahel";NA;NA;NA;NA;NA
"BFAr113";"BFA";"Sud-Ouest";NA;NA;NA;NA;NA
