"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"TUNr101";"TUN";"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)";2492;0.707;0.851;0.603;0.687
"TUNr102";"TUN";"Nord Est (Nabeul, Zaghouan, Bizerte)";1465;0.665;0.809;0.546;0.667
"TUNr103";"TUN";"Nord Ouest (Beja, Jendouba, Kef, Siliana)";1097;0.622;0.814;0.478;0.617
"TUNr104";"TUN";"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)";1313;0.591;0.78;0.442;0.599
"TUNr105";"TUN";"Centre Est (Sousse, Monastir, Mahdia, Sfax)";2213;0.669;0.832;0.543;0.664
"TUNr106";"TUN";"Sud Ouest (Gafsa, Tozeur, Kebili)";536;0.661;0.808;0.539;0.663
"TUNr107";"TUN";"Sud Est (Gabes, Medinine, Tataouine)";978;0.654;0.842;0.515;0.646
