"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"TUNr101";"TUN";"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)";2944;0.777;0.855;0.76;0.721
"TUNr102";"TUN";"Nord Est (Nabeul, Zaghouan, Bizerte)";1740;0.719;0.812;0.658;0.694
"TUNr103";"TUN";"Nord Ouest (Beja, Jendouba, Kef, Siliana)";1353;0.707;0.817;0.627;0.69
"TUNr104";"TUN";"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)";1581;0.668;0.783;0.566;0.672
"TUNr105";"TUN";"Centre Est (Sousse, Monastir, Mahdia, Sfax)";2913;0.73;0.835;0.663;0.704
"TUNr106";"TUN";"Sud Ouest (Gafsa, Tozeur, Kebili)";704;0.726;0.811;0.685;0.689
"TUNr107";"TUN";"Sud Est (Gabes, Medinine, Tataouine)";1120;0.73;0.845;0.663;0.696
