"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"TUNr101";"TUN";"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)";2758;0.764;0.875;0.7;0.728
"TUNr102";"TUN";"Nord Est (Nabeul, Zaghouan, Bizerte)";1621;0.718;0.832;0.63;0.708
"TUNr103";"TUN";"Nord Ouest (Beja, Jendouba, Kef, Siliana)";1215;0.67;0.837;0.548;0.656
"TUNr104";"TUN";"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)";1453;0.638;0.802;0.507;0.638
"TUNr105";"TUN";"Centre Est (Sousse, Monastir, Mahdia, Sfax)";2450;0.724;0.855;0.629;0.705
"TUNr106";"TUN";"Sud Ouest (Gafsa, Tozeur, Kebili)";594;0.714;0.83;0.622;0.704
"TUNr107";"TUN";"Sud Est (Gabes, Medinine, Tataouine)";1083;0.707;0.865;0.595;0.686
