"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"TUNr101";"TUN";"Grand Tunis (Tunis, Ariana, Ben Arous, Manouba)";2173;0.616;0.799;0.454;0.646
"TUNr102";"TUN";"Nord Est (Nabeul, Zaghouan, Bizerte)";1277;0.581;0.759;0.412;0.626
"TUNr103";"TUN";"Nord Ouest (Beja, Jendouba, Kef, Siliana)";957;0.543;0.763;0.362;0.578
"TUNr104";"TUN";"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)";1145;0.516;0.731;0.335;0.561
"TUNr105";"TUN";"Centre Est (Sousse, Monastir, Mahdia, Sfax)";1930;0.584;0.78;0.409;0.624
"TUNr106";"TUN";"Sud Ouest (Gafsa, Tozeur, Kebili)";468;0.577;0.757;0.407;0.622
"TUNr107";"TUN";"Sud Est (Gabes, Medinine, Tataouine)";853;0.571;0.79;0.388;0.606
