"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"LBRr101";"LBR";"Bomi";88.5;0.412;0.48;0.388;0.376
"LBRr102";"LBR";"Bong";330;0.371;0.511;0.277;0.361
"LBRr103";"LBR";"Gbarpolu";66.4;0.393;0.5;0.339;0.358
"LBRr104";"LBR";"Grand Bassa";163;0.383;0.5;0.304;0.368
"LBRr105";"LBR";"Grand Cape Mount";144;0.375;0.474;0.299;0.372
"LBRr106";"LBR";"Grand Gedeh";66;0.422;0.508;0.391;0.378
"LBRr107";"LBR";"Grand Kru";83.4;0.402;0.466;0.395;0.354
"LBRr108";"LBR";"Lofa";165;0.408;0.541;0.337;0.371
"LBRr109";"LBR";"Margibi";239;0.448;0.535;0.399;0.42
"LBRr110";"LBR";"Maryland";94.8;0.437;0.496;0.426;0.394
"LBRr111";"LBR";"Montserrado";1045;0.506;0.522;0.507;0.489
"LBRr112";"LBR";"Nimba";407;0.448;0.584;0.393;0.393
"LBRr113";"LBR";"River Cess";51.1;0.389;0.538;0.32;0.341
"LBRr114";"LBR";"River Gee";40;0.392;0.473;0.344;0.371
"LBRr115";"LBR";"Sinoe";77.7;0.409;0.515;0.377;0.352
