"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"LBRr101";"LBR";"Bomi";125;0.432;0.57;0.395;0.358
"LBRr102";"LBR";"Bong";467;0.389;0.604;0.283;0.343
"LBRr103";"LBR";"Gbarpolu";94;0.411;0.592;0.345;0.34
"LBRr104";"LBR";"Grand Bassa";231;0.401;0.592;0.31;0.35
"LBRr105";"LBR";"Grand Cape Mount";204;0.392;0.563;0.303;0.354
"LBRr106";"LBR";"Grand Gedeh";93.4;0.443;0.601;0.402;0.36
"LBRr107";"LBR";"Grand Kru";118;0.423;0.554;0.405;0.336
"LBRr108";"LBR";"Lofa";233;0.425;0.638;0.341;0.353
"LBRr109";"LBR";"Margibi";339;0.471;0.631;0.411;0.402
"LBRr110";"LBR";"Maryland";134;0.459;0.587;0.44;0.376
"LBRr111";"LBR";"Montserrado";1479;0.536;0.617;0.532;0.469
"LBRr112";"LBR";"Nimba";577;0.47;0.686;0.404;0.374
"LBRr113";"LBR";"River Cess";72.3;0.406;0.634;0.326;0.323
"LBRr114";"LBR";"River Gee";56.6;0.413;0.562;0.356;0.353
"LBRr115";"LBR";"Sinoe";110;0.428;0.608;0.386;0.334
