"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"LBRr101";"LBR";"Bomi";NA;NA;NA;NA;NA
"LBRr102";"LBR";"Bong";NA;NA;NA;NA;NA
"LBRr103";"LBR";"Gbarpolu";NA;NA;NA;NA;NA
"LBRr104";"LBR";"Grand Bassa";NA;NA;NA;NA;NA
"LBRr105";"LBR";"Grand Cape Mount";NA;NA;NA;NA;NA
"LBRr106";"LBR";"Grand Gedeh";NA;NA;NA;NA;NA
"LBRr107";"LBR";"Grand Kru";NA;NA;NA;NA;NA
"LBRr108";"LBR";"Lofa";NA;NA;NA;NA;NA
"LBRr109";"LBR";"Margibi";NA;NA;NA;NA;NA
"LBRr110";"LBR";"Maryland";NA;NA;NA;NA;NA
"LBRr111";"LBR";"Montserrado";NA;NA;NA;NA;NA
"LBRr112";"LBR";"Nimba";NA;NA;NA;NA;NA
"LBRr113";"LBR";"River Cess";NA;NA;NA;NA;NA
"LBRr114";"LBR";"River Gee";NA;NA;NA;NA;NA
"LBRr115";"LBR";"Sinoe";NA;NA;NA;NA;NA
