"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SENr101";"SEN";"Dakar";1632;0.537;0.687;0.385;0.586
"SENr102";"SEN";"Ziguinchor";353;0.446;0.536;0.368;0.449
"SENr103";"SEN";"Diourbel";725;0.244;0.542;0.06;0.447
"SENr104";"SEN";"Saint Louis";804;0.328;0.552;0.149;0.427
"SENr105";"SEN";"Tambacounda";533;0.278;0.526;0.095;0.426
"SENr106";"SEN";"Kaolack";1002;0.289;0.565;0.096;0.444
"SENr107";"SEN";"Thies";1078;0.39;0.595;0.206;0.484
"SENr108";"SEN";"Louga";615;0.284;0.551;0.091;0.456
"SENr109";"SEN";"Fatick";583;0.333;0.554;0.156;0.427
"SENr110";"SEN";"Kolda";647;0.283;0.524;0.101;0.431
