"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SENr101";"SEN";"Dakar";2295;0.53;0.694;0.349;0.614
"SENr102";"SEN";"Ziguinchor";433;0.455;0.587;0.391;0.411
"SENr103";"SEN";"Diourbel";1034;0.287;0.538;0.093;0.472
"SENr104";"SEN";"Saint Louis";1039;0.37;0.632;0.178;0.453
"SENr105";"SEN";"Tambacounda";668;0.316;0.518;0.152;0.402
"SENr106";"SEN";"Kaolack";1210;0.333;0.565;0.153;0.426
"SENr107";"SEN";"Thies";1391;0.418;0.638;0.226;0.507
"SENr108";"SEN";"Louga";663;0.335;0.637;0.128;0.463
"SENr109";"SEN";"Fatick";611;0.364;0.563;0.215;0.401
"SENr110";"SEN";"Kolda";836;0.336;0.514;0.196;0.378
