"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SENr101";"SEN";"Dakar";3720;0.614;0.781;0.486;0.61
"SENr102";"SEN";"Ziguinchor";650;0.596;0.739;0.562;0.51
"SENr103";"SEN";"Diourbel";2135;0.395;0.735;0.163;0.513
"SENr104";"SEN";"Saint Louis";1819;0.47;0.742;0.284;0.495
"SENr105";"SEN";"Tambacounda";1060;0.46;0.715;0.288;0.472
"SENr106";"SEN";"Kaolack";2216;0.465;0.737;0.272;0.501
"SENr107";"SEN";"Thies";2408;0.569;0.777;0.41;0.577
"SENr108";"SEN";"Louga";1031;0.458;0.701;0.269;0.511
"SENr109";"SEN";"Fatick";936;0.51;0.743;0.364;0.49
"SENr110";"SEN";"Kolda";1341;0.46;0.649;0.347;0.432
