"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GHAr101";"GHA";"Western";1995;0.519;0.594;0.476;0.494
"GHAr102";"GHA";"Central";1804;0.497;0.613;0.417;0.48
"GHAr103";"GHA";"Greater Accra";2792;0.627;0.667;0.599;0.617
"GHAr104";"GHA";"Volta";2014;0.504;0.597;0.466;0.461
"GHAr105";"GHA";"Eastern";2309;0.522;0.623;0.468;0.488
"GHAr106";"GHA";"Ashanti";3832;0.527;0.597;0.475;0.516
"GHAr107";"GHA";"Brong Ahafo";2048;0.5;0.615;0.426;0.476
"GHAr108";"GHA";"Northern";2028;0.366;0.523;0.203;0.462
"GHAr109";"GHA";"Upper West";622;0.362;0.483;0.22;0.446
"GHAr110";"GHA";"Upper East";1315;0.387;0.627;0.202;0.456
