"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GHAr101";"GHA";"Western";3321;0.611;0.701;0.54;0.601
"GHAr102";"GHA";"Central";3240;0.612;0.681;0.566;0.594
"GHAr103";"GHA";"Greater Accra";3650;0.67;0.732;0.631;0.652
"GHAr104";"GHA";"Volta";2750;0.603;0.702;0.542;0.577
"GHAr105";"GHA";"Eastern";4028;0.622;0.686;0.588;0.596
"GHAr106";"GHA";"Ashanti";7805;0.618;0.654;0.586;0.617
"GHAr107";"GHA";"Brong Ahafo";3131;0.591;0.715;0.496;0.581
"GHAr108";"GHA";"Northern";3586;0.496;0.625;0.348;0.562
"GHAr109";"GHA";"Upper West";844;0.536;0.636;0.442;0.548
"GHAr110";"GHA";"Upper East";1121;0.565;0.683;0.465;0.566
