"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GHAr101";"GHA";"Western";1993;0.46;0.558;0.378;0.462
"GHAr102";"GHA";"Central";1788;0.437;0.509;0.351;0.468
"GHAr103";"GHA";"Greater Accra";2328;0.573;0.65;0.495;0.585
"GHAr104";"GHA";"Volta";1949;0.446;0.579;0.355;0.432
"GHAr105";"GHA";"Eastern";2083;0.482;0.595;0.404;0.466
"GHAr106";"GHA";"Ashanti";2433;0.484;0.616;0.38;0.485
"GHAr107";"GHA";"Brong Ahafo";1323;0.422;0.528;0.318;0.446
"GHAr108";"GHA";"Northern";937;0.309;0.475;0.141;0.439
"GHAr109";"GHA";"Upper West";474;0.325;0.491;0.162;0.43
"GHAr110";"GHA";"Upper East";934;0.34;0.493;0.182;0.438
