"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"DZAr101";"DZA";"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)";8446;0.625;0.751;0.476;0.683
"DZAr102";"DZA";"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)";4078;0.604;0.751;0.448;0.655
"DZAr103";"DZA";"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)";4779;0.581;0.723;0.411;0.66
"DZAr104";"DZA";"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)";2096;0.571;0.709;0.4;0.655
"DZAr105";"DZA";"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)";3763;0.596;0.743;0.433;0.657
"DZAr106";"DZA";"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)";1472;0.582;0.728;0.415;0.651
"DZAr107";"DZA";"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)";2114;0.593;0.705;0.444;0.666
