"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"DZAr101";"DZA";"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)";14697;0.766;0.895;0.701;0.718
"DZAr102";"DZA";"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)";6418;0.741;0.838;0.688;0.705
"DZAr103";"DZA";"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)";7424;0.737;0.899;0.63;0.706
"DZAr104";"DZA";"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)";3359;0.722;0.872;0.608;0.71
"DZAr105";"DZA";"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)";6298;0.735;0.873;0.648;0.702
"DZAr106";"DZA";"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)";2277;0.73;0.883;0.624;0.707
"DZAr107";"DZA";"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)";4429;0.736;0.865;0.651;0.709
