"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"DZAr101";"DZA";"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)";12533;0.74;0.852;0.668;0.713
"DZAr102";"DZA";"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)";5317;0.744;0.851;0.681;0.71
"DZAr103";"DZA";"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)";5767;0.713;0.821;0.618;0.714
"DZAr104";"DZA";"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)";2610;0.693;0.806;0.593;0.696
"DZAr105";"DZA";"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)";5252;0.727;0.843;0.638;0.714
"DZAr106";"DZA";"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)";2110;0.706;0.827;0.604;0.704
"DZAr107";"DZA";"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)";3672;0.716;0.802;0.64;0.716
