"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"DZAr101";"DZA";"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)";9985;0.695;0.805;0.598;0.697
"DZAr102";"DZA";"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)";4821;0.672;0.805;0.562;0.67
"DZAr103";"DZA";"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)";5651;0.646;0.776;0.516;0.675
"DZAr104";"DZA";"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)";2478;0.633;0.761;0.499;0.669
"DZAr105";"DZA";"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)";4449;0.661;0.797;0.541;0.671
"DZAr106";"DZA";"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)";1741;0.646;0.781;0.519;0.665
"DZAr107";"DZA";"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)";2500;0.659;0.757;0.556;0.68
