"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"CPVr101";"CPV";"S.Antao";NA;NA;NA;NA;NA
"CPVr102";"CPV";"S.Vicente";NA;NA;NA;NA;NA
"CPVr103";"CPV";"Santiago-Interior";NA;NA;NA;NA;NA
"CPVr104";"CPV";"Santiago- Praia";NA;NA;NA;NA;NA
"CPVr105";"CPV";"Fogo";NA;NA;NA;NA;NA
