"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SLEr101";"SLE";"Bombali";571;0.453;0.628;0.378;0.393
"SLEr102";"SLE";"Kambia";355;0.383;0.608;0.241;0.383
"SLEr103";"SLE";"Koinadugu";348;0.343;0.513;0.221;0.354
"SLEr104";"SLE";"Port Loko";788;0.397;0.553;0.297;0.38
"SLEr105";"SLE";"Tonkolili";646;0.386;0.522;0.294;0.375
"SLEr106";"SLE";"Kailahun";425;0.399;0.55;0.322;0.359
"SLEr107";"SLE";"Kenema";681;0.405;0.517;0.323;0.397
"SLEr108";"SLE";"Kono";393;0.399;0.549;0.31;0.373
"SLEr109";"SLE";"Bo";575;0.43;0.543;0.365;0.401
"SLEr110";"SLE";"Bonthe";269;0.4;0.67;0.262;0.366
"SLEr111";"SLE";"Moyamba";346;0.374;0.528;0.277;0.357
"SLEr112";"SLE";"Pujehun";284;0.359;0.517;0.238;0.377
"SLEr113";"SLE";"Western Rural";202;0.481;0.533;0.456;0.457
"SLEr114";"SLE";"Western Urban";906;0.572;0.578;0.598;0.541
