"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SLEr101";"SLE";"Bombali";391;0.317;0.407;0.202;0.387
"SLEr102";"SLE";"Kambia";339;0.273;0.413;0.127;0.387
"SLEr103";"SLE";"Koinadugu";277;0.226;0.32;0.099;0.364
"SLEr104";"SLE";"Port Loko";462;0.289;0.397;0.16;0.38
"SLEr105";"SLE";"Tonkolili";412;0.251;0.321;0.137;0.36
"SLEr106";"SLE";"Kailahun";211;0.29;0.417;0.161;0.363
"SLEr107";"SLE";"Kenema";316;0.296;0.384;0.173;0.393
"SLEr108";"SLE";"Kono";265;0.289;0.366;0.178;0.372
"SLEr109";"SLE";"Bo";378;0.299;0.343;0.195;0.398
"SLEr110";"SLE";"Bonthe";154;0.266;0.349;0.145;0.371
"SLEr111";"SLE";"Moyamba";148;0.27;0.367;0.151;0.357
"SLEr112";"SLE";"Pujehun";177;0.235;0.37;0.096;0.367
"SLEr113";"SLE";"Western Rural";172;0.33;0.319;0.242;0.464
"SLEr114";"SLE";"Western Urban";600;0.429;0.398;0.371;0.536
