"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"SLEr101";"SLE";"Bombali";467;0.359;0.452;0.297;0.343
"SLEr102";"SLE";"Kambia";405;0.309;0.458;0.188;0.343
"SLEr103";"SLE";"Koinadugu";331;0.257;0.359;0.147;0.321
"SLEr104";"SLE";"Port Loko";552;0.327;0.441;0.236;0.337
"SLEr105";"SLE";"Tonkolili";492;0.285;0.36;0.202;0.317
"SLEr106";"SLE";"Kailahun";252;0.328;0.462;0.237;0.32
"SLEr107";"SLE";"Kenema";378;0.336;0.427;0.254;0.349
"SLEr108";"SLE";"Kono";317;0.328;0.409;0.262;0.329
"SLEr109";"SLE";"Bo";452;0.339;0.384;0.287;0.354
"SLEr110";"SLE";"Bonthe";184;0.301;0.39;0.214;0.328
"SLEr111";"SLE";"Moyamba";177;0.305;0.409;0.221;0.314
"SLEr112";"SLE";"Pujehun";212;0.266;0.412;0.141;0.324
"SLEr113";"SLE";"Western Rural";205;0.375;0.359;0.352;0.417
"SLEr114";"SLE";"Western Urban";717;0.487;0.442;0.538;0.486
