"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"CIVr101";"CIV";"Abidjan";4677;0.557;0.609;0.489;0.58
"CIVr102";"CIV";"Yamoussoukro";191;0.6;0.668;0.558;0.578
"CIVr103";"CIV";"Bas Sassandra";907;0.455;0.577;0.349;0.467
"CIVr104";"CIV";"Comoe";1283;0.484;0.598;0.38;0.499
"CIVr105";"CIV";"Denguele";653;0.384;0.474;0.236;0.506
"CIVr106";"CIV";"Goh-Djiboua";1176;0.48;0.574;0.411;0.47
"CIVr107";"CIV";"Lacs";1883;0.464;0.567;0.377;0.468
"CIVr108";"CIV";"Lagunes";1755;0.501;0.581;0.446;0.486
"CIVr109";"CIV";"Montagnes";2340;0.428;0.513;0.349;0.437
"CIVr110";"CIV";"Sassandra-Marahoue";2768;0.449;0.562;0.352;0.458
"CIVr111";"CIV";"Savanes";1076;0.426;0.556;0.297;0.469
"CIVr112";"CIV";"Vallee du Bandama";891;0.49;0.564;0.418;0.499
"CIVr113";"CIV";"Woroba";984;0.331;0.484;0.174;0.43
"CIVr114";"CIV";"Zanzan";1430;0.406;0.558;0.265;0.451
