"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"CIVr101";"CIV";"Abidjan";5984;0.569;0.636;0.419;0.689
"CIVr102";"CIV";"Yamoussoukro";245;0.619;0.643;0.557;0.662
"CIVr103";"CIV";"Bas Sassandra";1160;0.52;0.614;0.414;0.553
"CIVr104";"CIV";"Comoe";1642;0.582;0.675;0.475;0.615
"CIVr105";"CIV";"Denguele";836;0.44;0.486;0.293;0.598
"CIVr106";"CIV";"Goh-Djiboua";1504;0.551;0.621;0.458;0.588
"CIVr107";"CIV";"Lacs";2409;0.542;0.587;0.475;0.571
"CIVr108";"CIV";"Lagunes";2245;0.566;0.64;0.483;0.586
"CIVr109";"CIV";"Montagnes";2994;0.492;0.547;0.406;0.536
"CIVr110";"CIV";"Sassandra-Marahoue";3541;0.512;0.581;0.409;0.565
"CIVr111";"CIV";"Savanes";1376;0.471;0.573;0.323;0.564
"CIVr112";"CIV";"Vallee du Bandama";1140;0.554;0.614;0.461;0.602
"CIVr113";"CIV";"Woroba";1259;0.423;0.516;0.267;0.549
"CIVr114";"CIV";"Zanzan";1829;0.491;0.636;0.336;0.554
