"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GNBr101";"GNB";"Tombali";61.1;0.315;0.474;0.176;0.373
"GNBr102";"GNB";"Quinara";34.6;0.338;0.494;0.208;0.373
"GNBr103";"GNB";"Oio";222;0.313;0.427;0.195;0.363
"GNBr104";"GNB";"Biombo";92.3;0.311;0.425;0.191;0.364
"GNBr105";"GNB";"Bolama";42.8;0.381;0.513;0.292;0.367
"GNBr106";"GNB";"Bafata";150;0.32;0.439;0.188;0.392
"GNBr107";"GNB";"Gabu";162;0.292;0.425;0.149;0.39
"GNBr108";"GNB";"Cacheu";202;0.372;0.461;0.286;0.386
"GNBr109";"GNB";"Bissau";310;0.484;0.519;0.419;0.524
