"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GNBr101";"GNB";"Tombali";105;0.409;0.6;0.291;0.391
"GNBr102";"GNB";"Quinara";59.5;0.428;0.619;0.325;0.39
"GNBr103";"GNB";"Oio";278;0.415;0.657;0.286;0.382
"GNBr104";"GNB";"Biombo";118;0.446;0.636;0.369;0.379
"GNBr105";"GNB";"Bolama";40.3;0.44;0.574;0.401;0.371
"GNBr106";"GNB";"Bafata";186;0.366;0.512;0.238;0.4
"GNBr107";"GNB";"Gabu";194;0.342;0.513;0.194;0.401
"GNBr108";"GNB";"Cacheu";187;0.448;0.59;0.381;0.4
"GNBr109";"GNB";"Bissau";486;0.556;0.604;0.55;0.517
