"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GNBr101";"GNB";"Tombali";100;0.467;0.634;0.408;0.394
"GNBr102";"GNB";"Quinara";103;0.471;0.578;0.455;0.397
"GNBr103";"GNB";"Oio";293;0.433;0.651;0.312;0.4
"GNBr104";"GNB";"Biombo";166;0.481;0.546;0.497;0.41
"GNBr105";"GNB";"Bolama";37.4;0.473;0.612;0.471;0.367
"GNBr106";"GNB";"Bafata";386;0.463;0.701;0.329;0.43
"GNBr107";"GNB";"Gabu";335;0.388;0.516;0.269;0.42
"GNBr108";"GNB";"Cacheu";229;0.503;0.675;0.467;0.404
"GNBr109";"GNB";"Bissau";455;0.578;0.612;0.578;0.547
