"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"MRTr101";"MRT";"Hodh Charghi";584;0.404;0.677;0.205;0.473
"MRTr102";"MRT";"Hodh Gharbi";474;0.451;0.675;0.253;0.538
"MRTr103";"MRT";"Assaba";529;0.474;0.665;0.297;0.54
"MRTr104";"MRT";"Gorgol";498;0.459;0.669;0.28;0.518
"MRTr105";"MRT";"Brakna";447;0.514;0.686;0.341;0.583
"MRTr106";"MRT";"Trarza incl Nouakchott";1597;0.648;0.727;0.531;0.705
"MRTr107";"MRT";"Adrar";22.5;0.56;0.601;0.481;0.608
"MRTr108";"MRT";"Nouadhibou";163;0.675;0.697;0.592;0.745
"MRTr109";"MRT";"Tagant";27.1;0.506;0.618;0.384;0.544
"MRTr110";"MRT";"Guidimagha";365;0.438;0.684;0.241;0.509
"MRTr111";"MRT";"Tiris-Zemmour";22.9;0.696;0.735;0.637;0.719
"MRTr112";"MRT";"Inchiri";6.54;0.605;0.611;0.535;0.677
