"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"MRTr101";"MRT";"Hodh Charghi";409;0.457;0.652;0.293;0.501
"MRTr102";"MRT";"Hodh Gharbi";305;0.461;0.688;0.284;0.499
"MRTr103";"MRT";"Assaba";393;0.471;0.658;0.297;0.535
"MRTr104";"MRT";"Gorgol";339;0.444;0.637;0.261;0.525
"MRTr105";"MRT";"Brakna";343;0.496;0.642;0.34;0.56
"MRTr106";"MRT";"Trarza incl Nouakchott";1271;0.579;0.662;0.45;0.652
"MRTr107";"MRT";"Adrar";66.9;0.549;0.671;0.419;0.587
"MRTr108";"MRT";"Nouadhibou";120;0.628;0.721;0.464;0.739
"MRTr109";"MRT";"Tagant";76.2;0.514;0.666;0.364;0.559
"MRTr110";"MRT";"Guidimagha";265;0.433;0.612;0.255;0.518
"MRTr111";"MRT";"Tiris-Zemmour";47.7;0.587;0.611;0.468;0.706
"MRTr112";"MRT";"Inchiri";6.68;0.556;0.604;0.408;0.697
