"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"MRTr101";"MRT";"Hodh Charghi";206;0.364;0.549;0.177;0.498
"MRTr102";"MRT";"Hodh Gharbi";221;0.39;0.642;0.182;0.507
"MRTr103";"MRT";"Assaba";195;0.386;0.704;0.159;0.512
"MRTr104";"MRT";"Gorgol";230;0.34;0.612;0.121;0.531
"MRTr105";"MRT";"Brakna";209;0.373;0.657;0.148;0.536
"MRTr106";"MRT";"Trarza incl Nouakchott";740;0.469;0.635;0.255;0.636
"MRTr107";"MRT";"Adrar";47.4;0.389;0.511;0.213;0.543
"MRTr108";"MRT";"Nouadhibou";84.2;0.485;0.636;0.252;0.713
"MRTr109";"MRT";"Tagant";45.9;0.39;0.726;0.163;0.5
"MRTr110";"MRT";"Guidimagha";133;0.296;0.536;0.091;0.529
"MRTr111";"MRT";"Tiris-Zemmour";30.2;0.46;0.584;0.248;0.671
"MRTr112";"MRT";"Inchiri";6.49;0.46;0.55;0.271;0.652
