"code";"pays";"nom";"pop";"idh";"hea";"edu";"inc"
"GMBr101";"GMB";"Banjul";34.8;0.54;0.661;0.469;0.508
"GMBr102";"GMB";"Kanifing";539;0.548;0.665;0.482;0.512
"GMBr103";"GMB";"Brikama";1072;0.524;0.668;0.453;0.474
"GMBr104";"GMB";"Mansakonko";114;0.438;0.622;0.344;0.393
"GMBr105";"GMB";"Kerewan";293;0.445;0.657;0.325;0.412
"GMBr106";"GMB";"Kuntaur";124;0.337;0.623;0.178;0.346
"GMBr107";"GMB";"Janjabureh";188;0.385;0.647;0.251;0.352
"GMBr108";"GMB";"Basse";341;0.421;0.671;0.275;0.404
